,rating,review
33,5,This is excellent product. I am so happy to purchase Thomson Oath Pro series TV. Picture quality is superb. Till now I didn't see any lag in pictures. Colours comes out to be crispy and natural. Brightness is also fine and diffrence between drak and bright area is significant. However sound needs more tuning as per requirement. More bass expected. Build quality is also nice and biezeless experience was really great. Gaming performance yet to be checked. I definitely recommend this to everyone...READ MORE
34,5,One of the best Smart Television in best price .. I really like this Tv. Picture Quality and Sound is goodRecommended if you are looking for a budge tv.READ MORE
35,5,Everything good except NO DOLBY VISION as claimed by company as of now in Android 10. Hoping they fix this issue soon through an ota update! No lags though this tv supports only 2.4Ghz wi-fi band. Software experience has been good and came with Android 10 out of the box.Picture quality especially 4k HDR is excellent. Sound is good once dts-surround sound is enabled. Bluetooth works fine and pairing is easy.Casting works good too.Overall excellent value for money but hoping DOLBY VISION ...READ MORE
36,3,"Superb quality Picture quality ,sound, connectivity  all are really awesome.Guys go for it don't think too much. You can't get all this feature with this price . It's pure androidHDR 10Dolby vision and Dolby soundMemc technology Really thanks for flipkart giving such a great one. Also thanks for the delivery service and Jeeves for perfect installationREAD MORE"
37,5,TV is great and we got a lot cheaper because of Big Billion Days. Very good TV for so much money. Thank you flipkart.READ MORE
38,5,"TV finishing was great, attractive design layouts. Its my first experience with Thomson which is going good. Picture clarity, sound was upto mark. Happy with online shopping without any defects. Good customer service interations also.READ MORE"
39,5,I have bought the 43” Thomson UHD 4K LED Smart TV. Thanks to Flipkart (for quick and safe delivery) and Jeeves (Quick installation)1)	This is the lowest priced 43” 4K UHD TV2)	The product is capable of playing 4K videos with stunning colors and saturation when viewed even from the side angles.3)	It has the stand and the fixed wall mount included4)	It connects to Ethernet and Wifi without any issues.5)	Bezel is small and the product looks stunning from the front view.6)	Built-in Speaker...READ MORE
40,5,"Initial First Week Review: The Thomson Oathpro Max 43 TV has been a really good purchase at its price. The bezel-less design looks good within the room, with very good picture quality and decent audio to not require external speakers in a mid-sized room. It has nice settings options, especially allowing to choose modes without having to delve into settings.Picture Quality: The TV has a very nice IPS LED screen with bright and fairly accurate color reproduction that should suit almost all us...READ MORE"
41,5,"One of the cheap Brands and most importantly one among the Best of brands! Thompson a French company.. Stop buying products from Chinese brands... No more Chinese.The picture quality is very good. The LED panel gives a good quality picture to view at most of the angles. Sound needs to improve, but then Its good. Android OS can be given updates from Thompson (I am asking Thompson for regular Software updates for at-least 3 years).READ MORE"
42,5,This TV is a good buy and worth the price. The picture and sound quality is very good and overall has a good performance. Flipkart has been professional in the installation and demo which is commendable. I would highly recommend this to everyone.READ MORE
43,4,"After 1 week of experience with Thomson TV, i feel all that was promised is working perfect. All OTT apps, screen casting, picture brightness, sound quality etc are working better as compared to other popular brands.READ MORE"
44,5,"I went through the feedback on thomson TV on flipkart was confused between few options but most if them were from china i saw this New TV which was launched on the same day from thomsom and i took a chance by ordering it, the set was delivered withun three days from order date and was installed next day. Service was good picture quality and sound quality was good in comparison to other brands in same price range was favcing issue in connecting with JIO set top box through wifi, but i thing th...READ MORE"
45,5,I used Samsung 32inch TV for past 8 years and used Chromecast with it for smart TV option. Searched a lot for so many months to buy a larger segment TV.I ended up with Moto and MI 5X but the cost is little bit high.But in big billion days I found this Thomson Tv for less price when compared to other TVs.Initially got some confusion to buy this TV as People rarely used Thomson Tv. But i turned up my mind to buy. Ordered on Friday and delivery is on the next day itself and installation on o...READ MORE
46,5,"This TV is awesome picture quality, connectivity, sound, features overall I just loved it. Near about after 6 months of usage I giving this review. Guys don't think just go for it if you're looking for a great TV.READ MORE"
47,5,This product is superb in every thing picture quality performance sound quality easy to install side view is also good. Connectivity to wifi is also good but it's support only 4G . Overall Value for money. Go for this insted of cheep android tv available in local market.READ MORE
48,5,I have ordered TV in sale. Grabbed this amaze only at 23k. Thank u Flipkart. Talking about TV. Very good quality at this price. Much better than MI TV. As we also have MI TV. Go for it.READ MORE
49,4,"The TV is offered at very good price, best tv in this price range. It has all features loaded in ultra 4K LED technology. Image quality is very good, sound range is loud and design finish is awesome. Very good product. Must go for itREAD MORE"
50,5,"Purchased TV during Lockdown, however it was delivered and installed within the promised timeframe. We are pleased with features of this 55"" TV and in fact are in awe with smart TV. I am providing this feedback after usage of 6 days.Pros:1. Picture quality is the best part of the TV with IPS display2. Smart features of Android make it an awesome device with good broadband connection3. Sound quality is also decent, however one can't compare with Sound Bar or Home Theatre. But, still much ...READ MORE"
51,5,"Amazing sound and picture quality for the prize. Superb design with gold finish, Android 10 with 40w speakers for this price make a value for money product for this price. I have added the extended warranty with Jeeves installation guys for peace of mind.READ MORE"
52,5,"The Thomson tv is great value for money tv.They have cut cost at the correct places.The main component of the tv is display, then sound.Display is very good. The 43 inches model has around 500 NITs of brightness. The 53 inch model has 555 NITs of brightness you can definitely see increase the brightness. For HDR content extra brightness test make a good difference. The sound is decent. It gets little loud, but detail and bass is not very great. Pretty decent sound overall. The panel is su...READ MORE"
53,4,"Writing this review after one week of usage. Thomson has done great job.This is really good television under this budget.Person who love to enjoy picture clarity and sound,can purchase this product without futther thinking.And this is not for heavy gamers as it is having less ram.Here are my observations.Pros: Awesome picture clarityGreat SoundBudget friendlyInbuilt appsCons: Less Ram 1GHz processorSingle band WIFI.Thanks to flipkart for faster delivery in this pandemic situation ...READ MORE"
54,5,Excellent LED Smart TV in this rangePicture Quality is GoodConnectivity features are Nice Sound Quality is Not GoodREAD MORE
55,5,Reviewing on 3rd day. Received the product next day of order. Agile ekart delivery. I will recommend this TV. My wife and kid are enjoying the beauty of 4k videos and high definition pictures. Sound quality is great.READ MORE
56,5,Writing this after using for 1 week Pros1. Original Android TV (best app launches)2. Brightness 3. Sound4. Viewing angle5. Reduced Bezel 6. Worth for Money7. Tv stand (gold plated)8. Design & look Cons (not a huge problem) 1. weight2. Not a slimmer Verdict : If you think of a best 4k TV in a mid-range budget go for it without thinking again.READ MORE
57,5,Awesome TV with excellent video quality. I played a 4k video through YouTube and it was just flawless. Sound quality is also very good. Connectivity is pretty good. Got installed the same day I received the product. Amazing TV at this price. Anybody looking for 4k TV at low budget should definitely go for this one. All in one a Total package. Highly recommended to those looking for an 4k ultra HD TV.READ MORE
58,5,"Remote control is not smooth enough to operate, overall a perfect product at decent price, worst remote ever seen lots of problem with the software while going forward and backed while watching movies,eror msg keeps coming, I don't recommend this TV to others if they are looking for AndroidREAD MORE"
59,5,"Hi All,I'm writing this review after 2 months of usage.Good points I'll say  -Sharp Picture quality with real colors Stylish n sleek designWide angle 4K Videos are awesome to watchSound quality n clarityEasy connectivity with Android 10 enabled Good service with on time as committedBad Points I noticed - Speakers are good but could be improved moreDemo provided by engineer was ok & could be more detailed n improvedOverall I'll say this Smart TV is really smart n worth to b...READ MORE"
60,5,"Picture quality of the TV is great and the 4k videos plays seamlessly. The TV sound output is also great and installation was smooth, it was done on the next day itself. Wifi connection drops signal ranges sometime, for that I gave direct LAN connection, now the speed is ultra cool. Overall worth every penny you spent on this TV.READ MORE"
61,5,"Awesome product. The best quality picture & sound. Very easily connected to wifi or bluetooth. Apps like Netflix, Prime Video or Hotstar are running very smoothly. This TV is the best value for money.READ MORE"
62,5,"I am writing this review after using 4 months.This is absolute great product from Thomson. The Golden panel gives a great feel. One of the best SMART TV in this price segment. The picture quality is awesome,It has a 30w speaker output. Downside it doesn’t support Dual Band Wifi and memory also can be increased. Which can be take care. The viewing experience was very good. The audio quality is good. The initial setup was easy. All the function are working smoothly as of now which is great...READ MORE"
63,4,"4k is awesome, panel is awesome, for me who used to a 1080p 40"" Micromax tv, this is awesome upgrade, I also tried using this as monitor, even though I could see the letters clearly, but there seems to be some lag like in games and while using mouse even, so not a optimal choice as a monitor but an awesome TVREAD MORE"
64,5,"Pros : Crystal Clear picture quality with no frame skip issues, decent sound and very good viewing angles.Coms: sometimes the wifi connection lags, but I guess that maybe slow connection on my part.Will update after a months usageREAD MORE"
65,5,"It's a good budget friendly product , it's been 5 days using Thomson TV . I am impressed with wide angle ?READ MORE"
66,5,"Hi ,I am writing the review after using it for 3 week.Picture quality is really good at ths price.Sound quality is quite clear and dts is working as expected.We do have a Samsung smart tv 4k and Vu smart tv 55inch 4kTruly it's matching the standard in premium range.O generally watch during late hours .Thomson has provided lot many standard settings like for Pictures audio . Android is latest version.Quite smooth. Almost all Indian Apps supported.Even tested 4k quality videos in Ne...READ MORE"
67,5,Best TV in budget range. Picture quality is amazing and 30w speaker gives perfect theatre feel. Connectivity is fast and superb.READ MORE
68,4,"First of all I would like to thank Flipkart for delivering and providing installation and demo on time. I am using this product(Thomson TV) from past one week below are few Pros I would like to highlight1. At this price range, this is the best smart TV I have ever used. 2. The smart TV comes with latest version Andriod 9. 3. coming to the display, design and user interface of the TV is very good. 4. The picture quality is awesome and brightness looks perfect5. Voice assistant works pe...READ MORE"
69,5,I have been using tv from last 6 month and this tv is amazing and have all high specification given in the description of supplier. it support all the Dolby sound also 5.1 etc.I compared with LG and Samsung. it is far ahead. completely satisfied with this product. i hope they should not increase the rate in future!READ MORE
70,4,"I used to use, Real me tv. Upgraded to this one. First of all, installation was quick. Delivery was smooth. Wall mount will be given with the tv. It supports Dolby and 4k. It doesn't support 5Ghz WiFi (you can go with ethernet connection). Netflix, hotstar automatically plays in 4k HDR. Let's talk about the important ones.Video :There are five modes. Default brightness was low (as I was habituated to watch in Real me). You can change picture modes. Found, vivid mode is good. Colors are v...READ MORE"
71,5,I exchanged my old 55 inch tv to buy this.This TV is good smart tv and value for money.I had previously bought thomson 65 inch  last year in dec 2020 for my mother and it is working well. So i bought same thomson 65 inch tv. Viewing cricket is too good in this tv.READ MORE
72,4,Picture quality is good and sound quality is DTS surround so it is awesome and value for money if u want to buy 50inches smart LED for that requirement my suggestion is blindly buy the product.Don't miss the chance.READ MORE
73,5,Picture quality awesome  Support Dolby MS12 and DTS surround sound is awesome  and Awesome 4K display I am very very Happy Thanks you so much FlipkartREAD MORE
74,4,"Awesome got it in 35 k ,50 inch awesome Thomson is old brand so I trusted and I am happy with the product hope the sound would be more powerful in futureREAD MORE"
75,4,The perfect choice of TV I was looking for. It took a quite long to decide as I have been comparing/reviewing all the TV's before I could finally decide. After comparing Mi/Vu/Samsung/Lg/Kodak/Sony at micro level FINALLY Thompson was the one who was the clear winner and after making this choice believe me I am very Happy.If you want to see and experience the feel of 4K with in build sound then this is the right choice. Purely 4k and Dolby digital.vision and sound. This feature makes Thompson...READ MORE
76,5,"Thomson is not a brand one should go. Buying Thomson tv is a mistake. Just to save few money, bought thomson.After sales service is very pathetic. It been 15 days since i am trying to raise a complain for tv repair but no silution has been given. Even i have paid for technician visit as well and still wandering on email and calls. I face issue few months back as well and at that time i took almost 2 months to finish the job. So better not to buy thomson tv if you want good after sales service.READ MORE"
77,5,"Great picture quality, amazing sound and beautiful look.I really am liking the TV, previously had issue but customer care helped me with sorting and after first update it's all cool now.On time delivery even in covid situation and quick installation was real cool.READ MORE"
78,5,"Got the tv recently and here's my thoughtsPros1. Great sound quality and very loud even at low volumes.2. Pretty good picture quality for the price.3. Very lightweight and easy transportable.Cons 1. Startup time is slow. Bootup can take up to 20-25 secs. 2. Connectivity is slow. Response from bluetooth remote lags from time to time. 3. Wifi adaptor is 2.4 ghz only, so I would recommend using an Ethernet cable for internet connectivity to watch HD and 4K content. Overall, for the pr...READ MORE"
79,5,This is smart tv is very nice 👍 picture screen is good and sound good 👌READ MORE
80,5,"Great Picture quality, nice sound quality. All smart features available. 55inch size of TV makes your movie experience nice. Viewing angles are very nice, no issues. Device connectivity with speakers, headphones or for gaming work nicely. Thanks Thomson and Flipkart. Most importantly, Made in India product.😊READ MORE"
81,5,I have purchased this item a week ago and I must say the product is working way beyond my expectations. The quality is well set for the price range. Happy that I chose the right and competitive product in the market.The features available in Thomson TV is really competitive and no complaints with the operating system as well. It's really smooth and very user friendly. Great job team Thomson.READ MORE
82,5,Full Value for Money !I received my TV on time and installation was completed next day. Picture quality is awesome and sound is amazing. The frame with rose gold finish adds more beauty to the look. I suggest you to go for this TV if you are looking for good smart TV.READ MORE
83,5,Amazing quality nd clarity of picture nd sound. The best smart tv in this budget.READ MORE
84,3,"Very good product, best brand thomson , awesome experience while using this tv . People can trust on thomson.READ MORE"
85,5,Great 👌 Product. Well done Thomson Team & Flipkart I think I bought superb smart TV from Thomson in this budget. I am rating this out of 5.1. Picture quality- 5*2. Sound quality- 5*3. User Experience- 5*4. Connectivity- 5*ConclusionOverall experience is very good. You want to buy a smart android TV. Then go for it. The experience is awesome.ThanksREAD MORE
86,4,Amazing.  I write my review after one week usage of this tv. First of all I thank Flipkart for giving a great Indian make 4K TV Premium Quality. Really it's picture clarity is outstanding. Connectivity is working perfectly. Audio is very clear. Worth every penny.READ MORE
87,5,The sound is very clear and nice but a little bit of low respect to its 40 watt speakers also it has 2.4GHz and 5 GHz wifi which helps to connect very fast with my router and plays 4k videos smoothly. The picture quality is too good comparing with its price. Overall the tv is very good at this price range. Hope lasts long too.READ MORE
88,5,"Excellent TV in this budget, comparing to sonly,lg,samsung and other brands.Display-8/10,1Billion colors as mentionedHDR10+ is amazing , even though we watch near to it no blur/effects, its does its job.IPS - wide angle views is very good in this modelSound - 6/10 better go for Home theatre , since thye mentioned DTs in this model, but sounds are normal onlyWifi Connectivity - - does the job, plays 4K videos' without any interrupt, also support dual band wifiPicture quality - Amazing, c...READ MORE"
89,5,Awesome SpeakerPicture Quality of the tv is nice in 4k and hdrConnectivity is goodThis tv will make you smile at this price rangeREAD MORE
90,5,"Best tv with direct connectivity like samsung and sony tv. No need to install thrid party apps like Google home.Because company like mI, one plus , iffalcon , TCL dont have licence for direct connectivity.I already own a 65 inch from past 2 years. Pic attached at last.So I thought to buy a new 43 inch for my mom.I would recommend a gelco stabilizer for safety.Because I am using the stabilizer from past 2 year in my 65 inch tv.Sorry for the medicine bottle in pic.I am a ayurvedic...READ MORE"
91,3,Picture & Sound Quality is good but faced connectivity issue with the inbuilt Wifi chip of the Tv.Range of the Wifi is not good may be due to budget constraint they might have used a cheap wifi chip on this device.I do own a Sa***ng 4K TV and it was wall mounted the same place where thomson is mounted right now but the wifi doesn't works smoothly on the thomson TV.Overall nice product you must go for this product if looking for a budget 4K TV.Good picture quality nice sound..!!Best ...READ MORE
92,5,Review in 3 days:Bought this Thomson 55 inch TV after comparing with 2 other products - 1) Blaupunkt Cybersound 139 cm (55 inch) 60W Speakers (55CSA7090) and 2) Vu Premium 139 cm (55 inch).Delivered in Time.Installation done in time.Video quality is good. Need to set the right picture mode and little increase the contrast.Audio (40w) quality is very good for this budget.Initially the audio quality was not as expected.  Then i set the base to the full level and then we have very good...READ MORE
93,5,"Over all good experience with picture quality, give you the premium version view angle with almost 178degree.I am happy with product performance and expectations for the long time and it is trusted company from 4 decades. It’s worthy in this price and I must say to go do it. Colour vision is good in 4K and HD. Do you research as well which suitable to budget and more.READ MORE"
94,5,"We can't compare this TV with LG or Sony. But it is worth to buy at this price..I have purchased this TV (50"" UHD smart LED TV)with a discounted price of Rs 27,500 and it is worth enough to buy a Smart 4k UHD TV at this price..picture quality and sound is good.Bluetooth and wifi connects very well. Hassle free viewing..If you are planning to purchase 50"" UHD Smart LED TV at this price, it is worth to go. More over it is Make in India product..Re-review after using for 5 months..27th Jan...READ MORE"
95,5,"I baught this in Flipkart BBD with a great deal. It's best android tv at this price point. Sound quality is unbelievable, every word of dialogue is crystal clear. 4k & HDR works on wifi, only your net speed needs to be good. Picture quality is also very good. All apps are available to download from Google play. Side loading of apps also possible. Surprisingly it came with Android 10 out of the box whereas I was expecting Android 9. All in all its a great TV at minimal price.READ MORE"
96,5,"Hi,I am using my Thomson TV 43inch more than two months, and i did not face not any issue, except when i want connect the HDMI Arc connection. However it's not a big issue, because my second attempt it will work. All in all its very good TV, and it will meet all your needs at this price range. Fantastic product.READ MORE"
97,5,Absolutely best deal from Flipkart.This particular model is equipped with latest technology and offered at the best price when compared to old launches models of other brands. The performance of TV is well acceptable and recommend to buy at this good price.Thanks to Flipkart and Thomson to deliver such a TV.READ MORE
98,4,Good picture colity. IPS panal nice speaker volume. But ram 1.75 and storage 8 GB  is not sufficient. Also it is paisa vasul Good TV.READ MORE
99,5,Awesome tv . Best 4k display. Clarity using dts surround sound is amazing 😍❤️. Best tv clarity❤️💕. Andriod 10 provide fast boot up .. go for it...READ MORE
100,5,"The tv clarity and sound are best, I got it around 20k, worth for money 😍🥰🤩🤩, when the tv is not on wallpaper comes like in mobile phone, good to buyREAD MORE"
101,5,This is the best tv in this price segment.Overall good product.Sound is ok Tv watching in 4k is awesome. Not that great in 1080p Okk connectivityOne issue is that usb port is behind the tv you can't Access in easy manner.READ MORE
102,5,"Excellent, value for money TV! Great picture and sound quality. If you are looking for a big sized tv, this should easily be your top choice. Proud of the fact this is a MADE IN INDIA product! The installation and demo went smoothly as well.READ MORE"
103,5,"I'm looking this company after a decade. But still it gives excellent products in the market. Now we take a look on this TV.Pros:1) Speakers are louder as I expected.2) For this 4K display, 60Hz refresh rate and the bezel less display makes viewing experience awesome. 3)  Three HDMI inputs,  more input options.Cons:1)AV out is missing. You have to connect with old home theatre systems using any bluetooth module. when connecting with bluetooth speakers/ home theatre, it works with...READ MORE"
104,4,"Very good purchase from Flipkart, best 4K_TV in this price range. Awesome 4K Ultra HD picture quality, 40 Watt speakers with Dolby DTS sound, Bezel less design.Android 10 supports all aaps from Google Play store , and hands free control from Google Assistant.Superb Wifi and Bluetooth connectivity. HDMI and USB are also working fine.Overall satisfied with the purchase, worth for money.And superfast delivery and installation from Flipkart before the mentioned date.Thank you so much.READ MORE"
105,3,"Good resolution, good sound, look wise good, overall good product and worth for moneyREAD MORE"
106,5,Amazing tv.. picture quality is very good compared to top brands.. Sound is good but vocal needs to improve.. overall enjoying the purchase everyday 😊READ MORE
107,5,"4.5 starsPicture, sound & UI all are top class.HDMI arc is also there for connecting to home theater. Using since 2 months no issues whatsoever.0.5 stars reduced only because it does not have 5GHZ wifi band only 2.4GHZ band. 60 mbps max speed. It works fine for me with only rare buffering but still they should have provided dual band wifi. My 6 year old LG tv has dual band. Why not current gen tvs.Rest be assured product is top notch.READ MORE"
108,5,"Nice product but audio voice not compatible to other product  Picture quality is good ,Sound quality not good .READ MORE"
109,5,"This review is based on 1 week use. As a product, it brings a pretty decent value to the customer and people experiencing it. I'm not a Pro to describe a detailed review of any product as other people. What my thoughts about the product is, it got a pretty decent spec-to-price ratio. Overall use with product is satisfied. No complaints with the product. But, a negative experience is, the team associated with the Installation and demo. There is no contact of the team on the day of Setting ...READ MORE"
110,4,Product is good. Value for money but sound quality is not up to the marks or expectations. Sound quality makes it a low budget smart TV. If sound quality is improved it will be a delight factor.READ MORE
111,5,This Is Really Really Good Picture Quality...You Blindly Go for Thomson..I Ordered 55 And 50 In Led Both Are Very Nice Sound Quality HDR10 Dolby Vision All are Supported Properly And This Is Value For Money..Thank You Thomson And Flipkart..😎😎READ MORE
112,4,"This is the Beast. Trust my words or regret. This is the Giant in Lilliput. Never thought of this quality in this price segment.. I thank to myself that I took a decision to purchase this 55"" TV after hovering over many big brands. And I am sure that I am gonna enjoy every single frame for years.Picture more than imagination. 100 stars.Sound more than expected. 100 stars.Gaming (played Asphalt 8 for hours with the wireless gamepad) unbelievable performance. No lags at all. Installatio...READ MORE"
113,5,TV arrived yesterday and installation has been done today . perfectly working with no hustles . this is one of best TV in this price segment . Spending more money on TV is not acceptable these days . same 43 will double in SONY . we must go either Top Level or Budget Level .READ MORE
114,5,"Perfect Tv in this segment. Really I'm satisfied with this product. I am so happy with my first UHD 4K TV. All specifications are perfect. Picture quality and sound quality is really awesome. Stylish in look also. After purchased this, I  have trust in THOMSON products.READ MORE"
115,5,I bought this product on July 2020 for Rs 27k.It's a value for money product.You get high picture quality. The Dolby vision and MMEC technology improves the quality of the picture.In the picture quality department I give 10/10The sound department of the product is just average.3/5The warranty service feels little bit delay.My overall experience so far is a good quality product with this price range. You can Go for it with this price range.READ MORE
116,5,"Initially I was bit concerned about this Brand, gone through multiple reviews research, ordered product in anxiety...Service Review :Received product  n installation done in same day both delivery executive n installation executive were awesome Very nice experienceProduct Review :Picture quality : At par with other reputed brand like LG, Samsung. 4K videos are really awesomeSound : Better than Expectation, Dolby digital with 30 watt are treat to earConnectivity : Works like Charm ...READ MORE"
